               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023914,            0.011769,            0.025732,             0.53433,             0.44195,             0.44789,             0.34625,            0.023664,           0.0087709,            0.039441,            0.006436,            0.006436,            0.006436
                  38,            0.023573,            0.011929,            0.025887,               0.413,             0.59699,             0.47807,             0.38132,            0.022956,           0.0083938,             0.03929,            0.006337,            0.006337,            0.006337
                  39,            0.022655,            0.011191,             0.02427,             0.64384,             0.40919,             0.47721,             0.37584,            0.023622,           0.0083418,            0.038605,            0.006238,            0.006238,            0.006238
                  40,            0.023449,            0.010972,            0.023909,             0.67317,             0.40859,             0.48962,             0.39903,            0.022417,           0.0083575,            0.038238,            0.006139,            0.006139,            0.006139
                  41,            0.023006,             0.01138,            0.023466,             0.69523,             0.43968,             0.50233,             0.40459,             0.02247,           0.0088811,            0.037287,             0.00604,             0.00604,             0.00604
                  42,            0.023347,            0.011457,            0.022114,              0.6236,             0.47182,             0.49537,             0.40179,            0.022158,           0.0084624,            0.036776,            0.005941,            0.005941,            0.005941
                  43,            0.022521,            0.011179,            0.021474,             0.47326,             0.60716,             0.49222,             0.40768,            0.023039,           0.0086846,            0.036922,            0.005842,            0.005842,            0.005842
                  44,            0.023332,            0.011194,            0.022078,             0.73398,             0.41183,             0.53623,             0.45527,            0.022035,           0.0082426,            0.035564,            0.005743,            0.005743,            0.005743
                  45,            0.022456,            0.010821,            0.019956,             0.45591,             0.54825,             0.54034,             0.43101,             0.02245,            0.008646,            0.034576,            0.005644,            0.005644,            0.005644
                  46,            0.022489,             0.01103,            0.019529,             0.59476,              0.5253,             0.55776,             0.45499,            0.023174,           0.0083408,            0.035903,            0.005545,            0.005545,            0.005545
                  47,            0.021695,            0.010483,            0.019401,             0.66337,             0.43352,             0.53695,             0.42981,            0.021512,           0.0084243,            0.034213,            0.005446,            0.005446,            0.005446
                  48,            0.022423,            0.011018,             0.01908,             0.45548,             0.58508,             0.56063,             0.45892,            0.022504,           0.0082126,            0.035866,            0.005347,            0.005347,            0.005347
                  49,            0.021953,            0.011217,            0.018161,             0.47722,             0.63098,             0.57628,             0.46717,            0.022295,           0.0085135,            0.036142,            0.005248,            0.005248,            0.005248
                  50,            0.021902,            0.010564,            0.018303,             0.51701,             0.61341,             0.59039,             0.48185,            0.022294,           0.0090256,            0.034252,            0.005149,            0.005149,            0.005149
                  51,            0.021684,            0.010423,            0.018246,             0.52728,             0.65845,              0.6453,             0.52501,            0.021534,           0.0089755,            0.033538,             0.00505,             0.00505,             0.00505
                  52,            0.020911,            0.010766,             0.01639,             0.49203,             0.66677,             0.62693,             0.51473,            0.021274,           0.0089855,            0.032741,            0.004951,            0.004951,            0.004951
                  53,            0.020739,            0.010196,            0.016158,             0.52736,             0.65661,             0.62203,             0.51496,            0.021939,           0.0086722,            0.033243,            0.004852,            0.004852,            0.004852
                  54,            0.020751,            0.010476,            0.015852,             0.56444,             0.63276,             0.62702,             0.52508,            0.020827,           0.0087571,            0.032474,            0.004753,            0.004753,            0.004753
                  55,            0.020871,             0.01069,            0.015001,             0.56239,             0.62165,              0.6173,             0.51106,            0.020676,           0.0084882,            0.032111,            0.004654,            0.004654,            0.004654
                  56,            0.020666,            0.010617,            0.015612,             0.60682,             0.56358,             0.63947,             0.53859,            0.021121,            0.008266,            0.031623,            0.004555,            0.004555,            0.004555
                  57,            0.020192,            0.010289,            0.015542,             0.58587,             0.67321,             0.68784,             0.57411,            0.022147,           0.0082021,            0.033709,            0.004456,            0.004456,            0.004456
                  58,            0.020502,            0.010268,            0.015206,             0.49812,             0.77885,             0.63591,             0.53357,            0.022428,           0.0084157,            0.033313,            0.004357,            0.004357,            0.004357
                  59,            0.020511,           0.0099745,            0.014293,             0.52656,             0.75352,              0.6719,             0.55733,            0.021751,           0.0083871,            0.032659,            0.004258,            0.004258,            0.004258
                  60,            0.019664,            0.010122,            0.014158,             0.56495,             0.68904,             0.66007,              0.5644,            0.020397,           0.0085497,            0.032238,            0.004159,            0.004159,            0.004159
                  61,            0.019458,            0.010298,            0.013267,             0.56635,             0.74085,             0.68279,             0.56311,            0.021123,           0.0087214,             0.03229,             0.00406,             0.00406,             0.00406
                  62,            0.019163,           0.0096463,            0.013299,             0.53001,             0.78864,             0.67786,              0.5852,            0.020591,           0.0086966,            0.033159,            0.003961,            0.003961,            0.003961
                  63,            0.019097,           0.0096542,            0.013736,             0.51384,             0.77355,             0.67519,             0.57514,            0.020559,           0.0088453,            0.031796,            0.003862,            0.003862,            0.003862
                  64,            0.019316,            0.010082,            0.014482,             0.57822,             0.65898,             0.66379,             0.55931,            0.019838,           0.0087032,            0.033471,            0.003763,            0.003763,            0.003763
